Contig,Bin,Type
contig_10007,MAG_118,chromosome
contig_10011,MAG_287,chromosome
contig_10012,MAG_728,chromosome
contig_10016,MAG_1719,chromosome
contig_10027,MAG_1527,chromosome
contig_1003,MAG_1829,unmapped
contig_10035,MAG_602,unmapped
contig_10036,MAG_339,chromosome
contig_10039,MAG_1666,chromosome
contig_1004,Unbinned MAG,unmapped
contig_1005,MAG_1698,unmapped
contig_10056,MAG_132,unmapped
contig_10058,MAG_506,unmapped
contig_10059,MAG_646,chromosome
contig_10061,MAG_1665,chromosome
contig_10065,MAG_960,chromosome
contig_10069,MAG_1656,unmapped
contig_10071,MAG_713,chromosome
contig_10073,MAG_1698,unmapped
contig_10075,Unbinned MAG,unmapped
contig_10076,MAG_1698,unmapped
contig_10078,MAG_501,chromosome
contig_10089,MAG_846,unmapped
contig_10092,MAG_118,chromosome
contig_10094,MAG_158,chromosome
contig_1010,MAG_114,unmapped
contig_10101,MAG_522,chromosome
contig_1011,MAG_78,unmapped
contig_10113,MAG_239,unmapped
contig_10114,MAG_305,chromosome
contig_10116,MAG_277,chromosome
contig_10120,MAG_529,chromosome
contig_10124,MAG_1259,chromosome
contig_10125,MAG_1217,chromosome
contig_10126,MAG_768,chromosome
contig_10127,MAG_528,chromosome
contig_10128,MAG_1821,chromosome
contig_1013,Unbinned MAG,unmapped
contig_10130,MAG_1615,chromosome
contig_10138,MAG_1732,chromosome
contig_10145,MAG_204,chromosome
contig_10163,MAG_1797,chromosome
contig_10169,MAG_1797,chromosome
contig_10170,MAG_1798,chromosome
contig_10175,MAG_1798,chromosome
contig_10176,Unbinned MAG,unmapped
contig_10193,MAG_9,chromosome
contig_10195,MAG_276,chromosome
contig_10203,MAG_1279,chromosome
contig_10212,MAG_161,chromosome
contig_10217,MAG_1773,chromosome
contig_10219,MAG_264,chromosome
contig_10229,MAG_8,chromosome
contig_10232,Unbinned MAG,unmapped
contig_10233,Unbinned MAG,unmapped
contig_10234,MAG_304,chromosome
contig_10235,MAG_1327,chromosome
contig_10248,MAG_118,chromosome
contig_10249,MAG_693,chromosome
contig_10251,MAG_30,chromosome
contig_10252,MAG_105,chromosome
contig_10257,contig_10257,phage
contig_10263,MAG_28,chromosome
contig_10264,MAG_561,chromosome
contig_10268,MAG_53,chromosome
contig_10269,MAG_10,chromosome
contig_10270,MAG_773,unmapped
contig_10274,MAG_781,chromosome
contig_10275,MAG_781,chromosome
contig_10277,MAG_399,chromosome
contig_10285,MAG_8,chromosome
contig_10289,MAG_110,chromosome
contig_10292,MAG_847,chromosome
contig_10293,MAG_191,chromosome
contig_10299,MAG_14,chromosome
contig_10300,MAG_14,chromosome
contig_10318,Unbinned MAG,unmapped
contig_10319,MAG_339,chromosome
contig_10320,MAG_803,unmapped
contig_10323,MAG_1870,chromosome
contig_10330,MAG_160,chromosome
contig_10334,MAG_619,chromosome
contig_10335,MAG_428,chromosome
contig_10337,MAG_405,unmapped
contig_10350,MAG_204,chromosome
contig_10359,MAG_1550,chromosome
contig_10365,MAG_1485,chromosome
contig_10389,MAG_1557,chromosome
contig_10390,MAG_158,chromosome
contig_10394,MAG_1499,chromosome
contig_10397,MAG_282,unmapped
contig_10402,MAG_439,chromosome
contig_10403,MAG_479,chromosome
contig_10419,MAG_1211,chromosome
contig_1043,Unbinned MAG,unmapped
contig_10433,MAG_628,chromosome
contig_10439,MAG_1585,unmapped
contig_10446,MAG_1665,chromosome
contig_10464,MAG_336,chromosome
contig_10470,MAG_1685,chromosome
contig_10471,MAG_71,chromosome
contig_10474,MAG_582,unmapped
contig_10475,Unbinned MAG,unmapped
contig_10481,MAG_246,chromosome
contig_10483,MAG_27,chromosome
contig_10484,MAG_1713,unmapped
contig_105,MAG_288,chromosome
contig_10512,MAG_1315,chromosome
contig_10514,MAG_296,chromosome
contig_10515,MAG_296,chromosome
contig_10525,Unbinned MAG,unmapped
contig_10526,MAG_766,chromosome
contig_10527,Unbinned MAG,unmapped
contig_10531,MAG_116,chromosome
contig_10541,MAG_188,chromosome
contig_1055,MAG_488,unmapped
contig_10552,MAG_1009,chromosome
contig_10555,MAG_766,chromosome
contig_10561,MAG_766,chromosome
contig_10573,MAG_1677,chromosome
contig_10576,MAG_156,unmapped
contig_10580,MAG_1196,chromosome
contig_10589,MAG_1054,unmapped
contig_1059,MAG_1390,chromosome
contig_10595,MAG_1646,chromosome
contig_10597,MAG_43,chromosome
contig_1060,MAG_170,chromosome
contig_10607,MAG_1820,chromosome
contig_10618,MAG_743,chromosome
contig_10619,Unbinned MAG,unmapped
contig_10624,MAG_53,chromosome
contig_10627,MAG_1502,chromosome
contig_1064,MAG_217,chromosome
contig_10646,MAG_668,unmapped
contig_10652,MAG_157,chromosome
contig_10655,MAG_97,chromosome
contig_1066,contig_1066,phage
contig_10662,MAG_316,chromosome
contig_10675,MAG_611,unmapped
contig_10677,MAG_6,chromosome
contig_10679,MAG_43,chromosome
contig_10681,MAG_1871,chromosome
contig_10683,MAG_1050,unmapped
contig_10684,MAG_480,unmapped
contig_10685,MAG_480,unmapped
contig_10686,MAG_1716,unmapped
contig_10687,MAG_1716,unmapped
contig_10690,MAG_1773,chromosome
contig_10692,MAG_1773,chromosome
contig_10693,MAG_1033,chromosome
contig_10696,MAG_400,chromosome
contig_10699,MAG_1456,unmapped
contig_10701,MAG_1596,chromosome
contig_10708,MAG_1723,chromosome
contig_10717,MAG_26,chromosome
contig_10719,MAG_238,chromosome
contig_10730,MAG_99,unmapped
contig_10731,MAG_37,unmapped
contig_10735,contig_10735,phage
contig_10736,MAG_44,chromosome
contig_10740,MAG_117,chromosome
contig_10741,MAG_53,chromosome
contig_10742,MAG_130,chromosome
contig_10743,Unbinned MAG,unmapped
contig_10745,MAG_139,chromosome
contig_10756,Unbinned MAG,unmapped
contig_10757,MAG_905,unmapped
contig_1076,Unbinned MAG,unmapped
contig_10770,MAG_796,unmapped
contig_10771,contig_10771,phage
contig_10786,MAG_1840,unmapped
contig_10787,MAG_884,unmapped
contig_10797,MAG_172,chromosome
contig_10799,MAG_581,unmapped
contig_10801,MAG_892,chromosome
contig_10807,MAG_149,chromosome
contig_10822,MAG_65,chromosome
contig_10826,MAG_350,chromosome
contig_10828,MAG_1797,chromosome
contig_10833,MAG_615,chromosome
contig_10834,MAG_1392,chromosome
contig_10839,MAG_615,chromosome
contig_10840,MAG_1392,chromosome
contig_10842,MAG_1392,chromosome
contig_10843,MAG_615,chromosome
contig_10844,MAG_1393,chromosome
contig_10846,MAG_615,chromosome
contig_10855,MAG_1055,unmapped
contig_10857,MAG_722,chromosome
contig_10864,MAG_1301,unmapped
contig_10867,Unbinned MAG,unmapped
contig_1087,Unbinned MAG,unmapped
contig_10870,MAG_1811,chromosome
contig_10871,MAG_1810,chromosome
contig_10873,MAG_124,chromosome
contig_10875,MAG_3,chromosome
contig_10876,MAG_214,chromosome
contig_10879,MAG_1674,chromosome
contig_10881,MAG_797,unmapped
contig_10882,MAG_1777,chromosome
contig_10890,MAG_1699,chromosome
contig_10895,MAG_12,chromosome
contig_109,MAG_1527,chromosome
contig_10908,MAG_161,chromosome
contig_10909,MAG_105,chromosome
contig_10912,MAG_68,chromosome
contig_10913,MAG_226,chromosome
contig_10914,MAG_714,chromosome
contig_10915,Unbinned MAG,unmapped
contig_10919,MAG_1785,chromosome
contig_10922,MAG_1429,chromosome
contig_10923,MAG_379,unmapped
contig_10924,MAG_391,chromosome
contig_10925,MAG_573,unmapped
contig_10927,MAG_97,chromosome
contig_10929,MAG_173,chromosome
contig_10931,MAG_16,unmapped
contig_10932,MAG_328,chromosome
contig_10933,MAG_1457,chromosome
contig_10945,MAG_272,chromosome
contig_10949,MAG_1555,chromosome
contig_10953,MAG_1452,unmapped
contig_10966,MAG_781,chromosome
contig_10969,MAG_565,unmapped
contig_1097,MAG_1520,chromosome
contig_10972,MAG_277,chromosome
contig_10975,MAG_173,chromosome
contig_1098,MAG_1821,chromosome
contig_11004,MAG_1817,chromosome
contig_11007,MAG_103,chromosome
contig_11008,contig_11008,phage
contig_1101,MAG_1360,chromosome
contig_11011,MAG_177,chromosome
contig_11016,MAG_380,unmapped
contig_11022,contig_11022,phage
contig_11028,MAG_1279,chromosome
contig_11034,MAG_1671,unmapped
contig_11036,MAG_725,unmapped
contig_11039,MAG_134,chromosome
contig_11041,MAG_890,unmapped
contig_1105,MAG_702,unmapped
contig_11050,MAG_872,chromosome
contig_11052,MAG_591,unmapped
contig_11055,MAG_182,chromosome
contig_11059,MAG_1503,chromosome
contig_11067,MAG_1839,chromosome
contig_11070,MAG_33,chromosome
contig_11074,MAG_1683,chromosome
contig_11076,MAG_228,chromosome
contig_1108,MAG_1671,unmapped
contig_11080,MAG_1032,unmapped
contig_11093,MAG_18,chromosome
contig_11103,Unbinned MAG,unmapped
contig_11113,MAG_1650,unmapped
contig_11115,MAG_1562,chromosome
contig_11117,MAG_1057,chromosome
contig_11120,MAG_274,chromosome
contig_11126,MAG_1695,unmapped
contig_11133,MAG_10,chromosome
contig_11134,MAG_6,chromosome
contig_11137,MAG_336,chromosome
contig_11139,MAG_18,chromosome
contig_11144,MAG_178,chromosome
contig_11150,MAG_235,unmapped
contig_11159,MAG_1516,unmapped
contig_11164,MAG_1459,chromosome
contig_11176,MAG_68,chromosome
contig_11177,MAG_350,chromosome
contig_11185,MAG_1679,chromosome
contig_11187,contig_11187,plasmid
contig_11189,MAG_617,chromosome
contig_11190,MAG_617,chromosome
contig_11191,MAG_102,chromosome
contig_11192,MAG_724,chromosome
contig_11194,MAG_593,chromosome
contig_11199,MAG_572,chromosome
contig_11200,MAG_369,chromosome
contig_11204,MAG_227,chromosome
contig_11206,MAG_345,unmapped
contig_11211,MAG_1493,chromosome
contig_11212,MAG_1493,chromosome
contig_11214,MAG_965,unmapped
contig_11216,MAG_652,chromosome
contig_1122,MAG_223,chromosome
contig_11220,MAG_50,chromosome
contig_11221,MAG_1797,chromosome
contig_11223,Unbinned MAG,unmapped
contig_11224,MAG_61,unmapped
contig_11231,MAG_491,chromosome
contig_11245,MAG_68,chromosome
contig_11248,MAG_1682,unmapped
contig_11255,MAG_95,chromosome
contig_11258,MAG_1109,chromosome
contig_11264,MAG_184,chromosome
contig_11267,contig_11267,phage
contig_11268,MAG_264,unmapped
