Bin index,Kingdom,Phylum,Class,Order,Family,Genus,Species,Customized annotation
MAG_1,,,,,,,,
MAG_10,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Alloscillospira,,
MAG_100,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,CAG-170,CAG-170 sp900553545,
MAG_1000,,,,,,,,
MAG_1001,,,,,,,,
MAG_1002,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,,
MAG_1003,,,,,,,,
MAG_1004,,,,,,,,
MAG_1005,,,,,,,,
MAG_1006,,,,,,,,
MAG_1007,,,,,,,,
MAG_1008,,,,,,,,
MAG_1009,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1668,,
MAG_101,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,CAJFPI01,,
MAG_1010,,,,,,,,
MAG_1011,,,,,,,,
MAG_1012,,,,,,,,
MAG_1013,,,,,,,,
MAG_1014,,,,,,,,
MAG_1015,Bacteria,FirmicuteA,Clostridia,Christensenellales,UBA1242,,,
MAG_1016,,,,,,,,
MAG_1017,Bacteria,FirmicuteA,Clostridia,UMGS1840,HGM11507,,,
MAG_1018,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,Evtepia,,
MAG_1019,,,,,,,,
MAG_102,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Acutalibacteraceae,RUG806,,
MAG_1021,,,,,,,,
MAG_1022,,,,,,,,
MAG_1023,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,HGM04593,,
MAG_1024,,,,,,,,
MAG_1025,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,HGM04593,,
MAG_1026,Bacteria,FirmicuteA,Clostridia,Peptostreptococcales,Anaerovoracaceae,RGIG446,RGIG446 sp017621195,
MAG_1027,,,,,,,,
MAG_1028,,,,,,,,
MAG_1029,,,,,,,,
MAG_103,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp015061985,
MAG_1030,,,,,,,,
MAG_1031,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,
MAG_1032,,,,,,,,
MAG_1033,Bacteria,FirmicuteA,Clostridia,TANB77,CAG-508,HGM13634,,
MAG_1034,,,,,,,,
MAG_1035,,,,,,,,
MAG_1036,Bacteria,FirmicuteA,Clostridia,Christensenellales,UBA1242,Onthoplasma,,
MAG_1037,Bacteria,FirmicuteA,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83,,
MAG_1038,,,,,,,,
MAG_1039,,,,,,,,
MAG_104,Bacteria,FirmicuteA,Clostridia,Christensenellales,,,,
