Bin index,Contig index
MAG_1,contig_19332
MAG_1,contig_22982
MAG_1,contig_23104
MAG_1,contig_23420
MAG_1,contig_25061
MAG_1,contig_25665
MAG_1,contig_30250
MAG_1,contig_32097
MAG_1,contig_34328
MAG_1,contig_34594
MAG_1,contig_34846
MAG_1,contig_35428
MAG_1,contig_36217
MAG_1,contig_37208
MAG_1,contig_38576
MAG_1,contig_38839
MAG_1,contig_38936
MAG_1,contig_38985
MAG_1,contig_39236
MAG_1,contig_39426
MAG_1,contig_39617
MAG_1,contig_39832
MAG_1,contig_39987
MAG_1,contig_40474
MAG_1,contig_40863
MAG_1,contig_42275
MAG_1,contig_42505
MAG_1,contig_42559
MAG_1,contig_42949
MAG_1,contig_46080
MAG_1,contig_46772
MAG_1,contig_46800
MAG_1,contig_48858
MAG_1,contig_49041
MAG_1,contig_49066
MAG_1,contig_49385
MAG_1,contig_49427
MAG_1,contig_50615
MAG_1,contig_53689
MAG_1,contig_54442
MAG_1,contig_59508
MAG_1,contig_59653
MAG_1,contig_59729
MAG_1,contig_60180
MAG_1,contig_60257
MAG_10,contig_10269
MAG_10,contig_11133
MAG_10,contig_17202
MAG_10,contig_20429
MAG_10,contig_23750
MAG_10,contig_26519
MAG_10,contig_26902
MAG_10,contig_26903
MAG_10,contig_29242
MAG_10,contig_35220
MAG_10,contig_35221
MAG_10,contig_3584
MAG_10,contig_3590
MAG_10,contig_39857
MAG_10,contig_39860
MAG_10,contig_40677
MAG_10,contig_42016
MAG_10,contig_43280
MAG_10,contig_51809
MAG_10,contig_54349
MAG_10,contig_56705
MAG_10,contig_56793
MAG_10,contig_57775
MAG_10,contig_58008
MAG_10,contig_58482
MAG_10,contig_58987
MAG_10,contig_59666
MAG_10,contig_60211
MAG_10,contig_60923
MAG_10,contig_8661
MAG_1003,contig_12783
MAG_101,contig_22993
MAG_101,contig_25919
MAG_101,contig_3402
MAG_101,contig_34664
MAG_101,contig_36299
MAG_101,contig_39065
MAG_101,contig_42874
MAG_101,contig_44916
MAG_101,contig_46554
MAG_101,contig_47650
MAG_101,contig_54727
MAG_101,contig_56441
MAG_101,contig_57564
MAG_101,contig_58449
MAG_101,contig_59629
MAG_101,contig_59820
MAG_101,contig_60345
MAG_101,contig_60519
MAG_101,contig_8909
MAG_1010,contig_15298
MAG_1010,contig_60121
