Bin index,Category,Phylum,Class,Order,Family,Genus,Species
contig_10257,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_1066,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_10735,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_10771,virus,Unclassified,Unclassified,Unclassified,Phycodnaviridae,Unclassified,Unclassified
contig_11008,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_11022,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_11187,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_11267,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_11406,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_11561,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_11629,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_11696,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_11719,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_11777,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_11778,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_11780,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_12067,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_12088,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_12122,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_12132,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_12278,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_12401,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_12404,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_12792,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_12826,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_12845,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_13056,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_13181,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_13209,virus,Unclassified,Unclassified,Caudoviralev,Podoviridae,Unclassified,Unclassified
contig_1398,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_14113,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_14125,virus,Unclassified,Unclassified,Caudoviralev,Siphoviridae,Unclassified,Unclassified
contig_14129,plasmid,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
contig_14550,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
contig_14631,virus,Unclassified,Unclassified,Herpesviralev,Herpesviridae,Unclassified,Unclassified
contig_14826,virus,Unclassified,Unclassified,Caudoviralev,Myoviridae,Unclassified,Unclassified
