Contig index,The number of restriction sites,Contig length,Contig coverage,Within-contig Hi-C contacts,Bin index,Category,Phylum,Class,Order,Family,Genus,Species
contig_1000,3155,418844,10.2544,40.0,MAG_1826,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Dysosmobacter,s_
contig_10012,12346,1299121,21.8258,289.0,MAG_728,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_SIG644,s_SIG644 sp017452545
contig_10036,642,72747,34.5247,4.0,MAG_339,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_SIG603,s_SIG603 sp017935165
contig_10056,212,29815,5.39238,3.0,MAG_132,unclassified,p_,c_,o_,f_,g_,s_
contig_10065,7496,825707,13.1213,1256.0,MAG_960,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_RGIG1959,s_
contig_10069,5254,504051,39.1174,31.0,MAG_1656,unclassified,p_,c_,o_,f_,g_,s_
contig_1011,5388,859932,39.3084,2065.0,MAG_78,unclassified,p_,c_,o_,f_,g_,s_
contig_10113,4768,285351,6.89969,29.0,MAG_239,unclassified,p_,c_,o_,f_,g_,s_
contig_10120,8685,824031,23.1096,634.0,MAG_529,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_
contig_10124,3730,373715,11.1354,17.0,MAG_1259,chromosome,p_Cyanobacteria,c_Vampirovibrionia,o_Gastranaerophilales,f_Gastranaerophilaceae,g_,s_
contig_10126,1610,217193,91.4275,1131.0,MAG_768,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_CAG-488,s_CAG-488 sp017935265
contig_10127,2143,190996,8.90589,60.0,MAG_528,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_
