Contig index,The number of restriction sites,Contig length,Contig coverage,Within-contig Hi-C contacts,Bin index,Category,Phylum,Class,Order,Family,Genus,Species
contig_995_v,1327,90632,16664.81,0,contig_995_v,virus,p_,c_,o_Caudoviralev_v,f_Podoviridae_v,g_,s_
contig_3125_v,170,21574,8629.60,0,contig_3125_v,virus,p_,c_,o_Caudoviralev_v,f_Podoviridae_v,g_,s_
contig_31461_v,2072,153448,13996.95,0,contig_31461_v,virus,p_,c_,o_Caudoviralev_v,f_Siphoviridae_v,g_,s_
contig_31462_v,2041,146720,1365.84,0,contig_31462_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_31464_v,149,10918,146.55,0,contig_31464_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_31564_v,509,32329,825.69,0,contig_31564_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_31686_v,494,30767,11708.90,0,contig_31686_v,virus,p_,c_,o_Caudoviralev_v,f_Siphoviridae_v,g_,s_
contig_32285_v,592,72916,862.18,0,contig_32285_v,virus,p_,c_,o_Caudoviralev_v,f_Siphoviridae_v,g_,s_
contig_325_v,1936,129191,181574.75,0,contig_325_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_32640_v,682,57019,27171.81,0,contig_32640_v,virus,p_,c_,o_Caudoviralev_v,f_Siphoviridae_v,g_,s_
contig_3122_v,923,101862,302937.37,0,contig_3122_v,virus,p_,c_,o_Caudoviralev_v,f_Siphoviridae_v,g_,s_
contig_32741_v,2030,113940,7521.16,0,contig_32741_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_327_v,274,17830,1041.17,0,contig_327_v,virus,p_,c_,o_Caudoviralev_v,f_Siphoviridae_v,g_,s_
contig_33012_v,440,28934,4800.41,0,contig_33012_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_332_v,1340,90894,6443.98,0,contig_332_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_33492_v,711,36870,30802.78,0,contig_33492_v,virus,p_,c_,o_Caudoviralev_v,f_Siphoviridae_v,g_,s_
contig_33587_v,1001,55597,1943.95,0,contig_33587_v,virus,p_,c_,o_Caudoviralev_v,f_Podoviridae_v,g_,s_
contig_33590_v,2171,112747,33341.12,0,contig_33590_v,virus,p_,c_,o_Caudoviralev_v,f_Podoviridae_v,g_,s_
contig_33858_v,3539,196807,10510.46,0,contig_33858_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_34067_v,6792,360959,16953.17,0,contig_34067_v,virus,p_,c_,o_Caudoviralev_v,f_Siphoviridae_v,g_,s_
contig_34224_v,386,18125,2394.75,0,contig_34224_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_32742_v,1052,56456,1556.30,0,contig_32742_v,virus,p_,c_,o_Caudoviralev_v,f_Myoviridae_v,g_,s_
contig_31108_v,2929,213872,8762.25,0,contig_31108_v,virus,p_,c_,o_Caudoviralev_v,f_Siphoviridae_v,g_,s_
