Bin,Contig,Restriction sites,Length,Coverage,Self Contact,Type,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
MAG_1,"contig_19332, contig_22982, contig_23104, contig_23420, contig_25061, contig_25665, contig_30250, contig_32097, contig_34328, contig_34594, contig_34846, contig_35428, contig_36217, contig_37208, contig_38576, contig_38839, contig_38936, contig_38985, contig_39236, contig_39426, contig_39617, contig_39832, contig_39987, contig_40474, contig_40863, contig_42275, contig_42505, contig_42559, contig_42949, contig_46080, contig_46772, contig_46800, contig_48858, contig_49041, contig_49066, contig_49385, contig_49427, contig_50615, contig_53689, contig_54442, contig_59508, contig_59653, contig_59729, contig_60180, contig_60257",27914,1823435,77648,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_10,"contig_10269, contig_11133, contig_17202, contig_20429, contig_23750, contig_26519, contig_26902, contig_26903, contig_29242, contig_35220, contig_35221, contig_3584, contig_3590, contig_39857, contig_39860, contig_40677, contig_42016, contig_43280, contig_51809, contig_54349, contig_56705, contig_56793, contig_57775, contig_58008, contig_58482, contig_58987, contig_59666, contig_60211, contig_60923, contig_8661",19023,2849500,8259,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Alloscillospira,s_Unspecified Alloscillospira
MAG_100,"contig_12848, contig_12849, contig_20038, contig_20281, contig_26862, contig_27370, contig_27371, contig_27372, contig_34451, contig_35775, contig_37210, contig_38204, contig_53159, contig_56098, contig_57404, contig_59674, contig_60483, contig_8281, contig_9980",17578,1988568,1777,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_CAG-170,s_CAG-170 sp900553545
MAG_1000,"contig_40917, contig_44830, contig_55503",3881,232693,90,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1001,"contig_48222, contig_6289, contig_6290",2779,200210,674,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1002,"contig_20178, contig_56739, contig_57002",2915,305753,573,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_Unspecified Faecousia
MAG_1003,contig_12783,18454,1019954,1160,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1004,"contig_38553, contig_57583, contig_6063",5075,551146,825,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1005,"contig_15647, contig_57738, contig_58654",5072,980082,3544,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1006,"contig_19100, contig_56747, contig_57784",3659,237025,835,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1007,"contig_42569, contig_57966, contig_5828",6339,840911,2264,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1008,"contig_15830, contig_33049, contig_58784",2425,262615,671,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1009,"contig_10552, contig_592, contig_6267",5791,728000,109144,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Ruminococcaceae,g_UMGS1668,s_Unspecified UMGS1668
MAG_101,"contig_22993, contig_25919, contig_3402, contig_34664, contig_36299, contig_39065, contig_42874, contig_44916, contig_46554, contig_47650, contig_54727, contig_56441, contig_57564, contig_58449, contig_59629, contig_59820, contig_60345, contig_60519, contig_8909",11433,1675909,3529,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_CAJFPI01,s_Unspecified CAJFPI01
MAG_1010,"contig_15298, contig_60121, contig_60189",21335,2324036,172390,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1011,"contig_22398, contig_57763, contig_8151",1701,180428,71,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1012,"contig_20058, contig_22473, contig_8753",13482,1912214,17492,0,chromosome,d_Unspecified ,k_Unspecified ,p_Unspecified ,c_Unspecified ,o_Unspecified ,f_Unspecified ,g_Unspecified ,s_Unspecified 
MAG_1013,"contig_43855, contig_8844, contig_8845",4362,565884,176,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1014,"contig_22186, contig_44738, contig_896",1856,384303,145149,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1015,"contig_20197, contig_32553, contig_55966",5304,441474,1189,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_UBA1242,g_Unspecified UBA1242,s_Unspecified UBA1242
MAG_1016,"contig_18606, contig_51832, contig_55962",1915,232636,412,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
MAG_1017,"contig_36896, contig_58467, contig_8546",5132,572545,655,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_UMGS1840,f_HGM11507,g_Unspecified HGM11507,s_Unspecified HGM11507
MAG_1018,"contig_17556, contig_39550",17643,2656376,545974,0,chromosome,d_Bacteria,k_Bacteria,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Evtepia,s_Unspecified Evtepia
MAG_1019,"contig_12470, contig_3611, contig_48171",24755,2519659,121981,0,unmapped,d_unmapped,k_unmapped,p_unmapped,c_unmapped,o_unmapped,f_unmapped,g_unmapped,s_unmapped
