Contig name,Number of restriction sites,Contig length,Contig coverage,Hi-C contacts mapped to the same contigs,Contig annotation,Is Viral
k141_13348,14,1445,11.5019,44,kudriavzevii,False
k141_1,6,1102,15.395,9,kudriavzevii,False
k141_10680,9,1191,618.339,194,cerevisiae,False
k141_9790,92,4211,500.779,10020,uvarum,False
k141_2,15,2821,17.4684,173,kudriavzevii,False
k141_10681,71,4265,74.356,545,uvarum,False
k141_9793,12,1872,129.107,1205,kluyveri,False
k141_5347,16,1823,14.2833,25,kudriavzevii,False
k141_4,33,3049,52.999,1280,Influenzavirus,True
k141_9,41,8193,128.104,1788,kluyveri,False
k141_13350,38,3181,64.254,499,paradoxus,False
k141_12459,14,1034,87.1188,53,cerevisiae,False
k141_890,18,1730,14.3443,16,kudriavzevii,False
k141_11,22,1664,10.9141,69,kudriavzevii,False
k141_12461,46,3835,319.735,5786,cerevisiae,False
k141_1782,60,4767,275.289,1942,Rhinovirus,True
k141_10682,197,15323,78.8325,4509,mikatae,False
k141_8014,14,1111,9.81686,7,kudriavzevii,False
k141_10684,48,2964,171.625,694,cerevisiae,False
k141_17,38,2953,83.3325,394,uvarum,False
k141_13355,61,4488,52.518,1447,paradoxus,False
k141_3566,16,2419,110.014,256,uvarum,False
k141_12464,70,4873,88.2712,699,castellii,False
k141_18,31,2141,300.981,1451,Enterovirus,True
k141_13356,40,3514,719.693,3647,mikatae,False
k141_5348,314,26736,60.1727,5120,paradoxus,False
k141_13358,19,1528,12.3418,27,kudriavzevii,False
k141_7120,769,52877,92.6347,14426,castellii,False
k141_9798,304,25402,308.986,21020,cerevisiae,False
k141_8901,478,39992,81.9209,5797,Rhinovirus,True
k141_1783,32,4128,103.143,4072,kluyveri,False
k141_8017,53,5209,108.317,733,waltii,False
k141_893,124,10978,297.899,7439,cerevisiae,False
k141_6230,119,9072,97.0424,4302,Coronavirus,True
k141_2680,212,19453,104.09,8660,kluyveri,False
k141_12466,280,25519,83.5099,3490,uvarum,False
k141_3568,291,27950,103.797,13270,kluyveri,False
k141_4454,681,89903,48.57,1899,gossypii,False
k141_21,52,4859,63.371,765,paradoxus,False
k141_8018,12,1020,11.7483,34,kudriavzevii,False
k141_6232,14,1335,182.936,894,cerevisiae,False
k141_1785,13,2390,12.4817,40,kudriavzevii,False
k141_24,11,1039,9.26884,10,kudriavzevii,False
k141_1787,26,2835,4869.24,37740,lactis,False
k141_8022,23,2440,110.086,718,mikatae,False
k141_6235,81,6117,48.8301,813,paradoxus,False
k141_27,86,6825,54.7882,1105,paradoxus,False
k141_5351,598,54365,85.5714,8874,uvarum,False
k141_11570,1058,86945,289.406,67562,cerevisiae,False
k141_5352,31,1211,1205.74,2697,paradoxus,False
k141_11571,107,7618,51.5932,915,paradoxus,False
k141_5360,20,3773,478.633,2794,waltii,False
k141_3571,156,10791,68.8979,873,uvarum,False
k141_7122,414,34010,75.5815,6736,uvarum,False
k141_5361,103,8376,57.8192,1242,paradoxus,False
k141_7129,37,3534,63.2204,724,paradoxus,False
k141_7130,28,1975,10.6816,28,kudriavzevii,False
k141_10686,677,63906,81.619,17748,waltii,False
k141_1792,567,49947,79.1822,8130,uvarum,False
k141_8904,121,10862,225.353,6999,cerevisiae,False
k141_4457,105,10524,95.4101,3096,mikatae,False
k141_900,145,12100,62.0657,1928,paradoxus,False
k141_12467,1331,91159,176.633,52870,castellii,False
k141_8028,210,17679,301.949,19961,cerevisiae,False
k141_10688,10,1182,159.944,593,kluyveri,False
k141_7131,65,4918,52.6768,1033,Enterovirus,True
k141_7135,25,1489,37.4033,289,paradoxus,False
k141_12470,37,4745,84.2953,779,paradoxus,False
k141_13360,861,126532,50.2058,2696,gossypii,False
k141_2681,117,9263,79.6814,917,uvarum,False
k141_2683,55,3622,50.3188,514,paradoxus,False
k141_3572,152,13203,289.79,10711,cerevisiae,False
k141_2684,18,1263,15.372,31,kudriavzevii,False
k141_1805,159,12624,58.47,2157,paradoxus,False
k141_6239,407,33207,94.6236,12370,kluyveri,False
k141_8906,89,7386,3065.22,33587,cerevisiae,False
k141_2686,19,2667,10800.4,79428,paradoxus,False
k141_901,252,21700,52.0878,5794,paradoxus,False
k141_3575,161,15643,59.25,2732,paradoxus,False
k141_9801,286,25929,292.864,18417,Coronavirus,True
k141_13361,349,26848,75.75,4626,Coronavirus,True
k141_28,119,11455,117.937,3284,kluyveri,False
k141_13362,19,1064,31.7265,152,paradoxus,False
k141_29,26,2025,58.9227,357,paradoxus,False
k141_12476,406,34352,91.6741,6993,Coronavirus,True
k141_12478,25,2388,64.2891,415,paradoxus,False
k141_1815,48,3187,76.1989,782,mikatae,False
k141_13365,62,4803,243.177,4007,cerevisiae,False
k141_35,49,3608,90.2848,532,Coronavirus,True
k141_12480,51,4195,43.0744,524,paradoxus,False
k141_1819,122,8755,60.5163,1405,paradoxus,False
k141_6243,548,36028,94.2435,9647,castellii,False
k141_1821,116,10176,101.664,3057,kluyveri,False
k141_6244,65,5722,113.962,818,uvarum,False
k141_3578,100,10107,299.672,10718,cerevisiae,False
k141_1822,37,2970,83.0078,258,stipitis,False
k141_39,72,5765,77.3067,1988,mikatae,False
k141_12481,382,29702,274.987,19459,cerevisiae,False
k141_1823,49,3604,56.4815,683,paradoxus,False
k141_12483,41,4482,108.792,1241,kluyveri,False
k141_40,87,6004,244.217,2739,Coronavirus,True
k141_3587,126,11361,84.6074,1480,mikatae,False
k141_11572,720,61449,72.3646,11601,uvarum,False
k141_6248,184,17545,77.7461,2078,uvarum,False
k141_8907,193,15503,81.6178,2073,mikatae,False
k141_1825,109,10063,148.653,5541,cerevisiae,False
k141_6250,86,7440,80.059,1888,Influenzavirus,True
k141_8030,640,51523,79.7829,9974,Coronavirus,True
k141_12484,228,20902,83.9695,2721,uvarum,False
k141_7138,418,47469,100.771,19876,Rhinovirus,True
k141_7140,71,4809,71.748,991,mikatae,False
k141_6254,199,14669,106.119,4427,paradoxus,False
k141_12486,106,8399,64.5295,2604,paradoxus,False
k141_7141,15,1644,64.4277,370,paradoxus,False
k141_41,38,4867,316.702,3666,cerevisiae,False
k141_902,307,25701,61.6486,4287,paradoxus,False
k141_42,24,3242,170.201,1912,cerevisiae,False
k141_7143,74,6502,77.3139,518,uvarum,False
k141_12488,100,7883,62.0094,1969,paradoxus,False
k141_1826,52,4011,109.413,839,castellii,False
k141_6258,110,9590,83.1855,1518,mikatae,False
k141_13367,597,34964,90.4868,8427,castellii,False
k141_6259,42,3116,58.7117,509,paradoxus,False
k141_13370,18,1213,65.444,234,paradoxus,False
k141_6260,9,1029,13.5472,10,kudriavzevii,False
k141_8911,113,11482,88.0564,2165,waltii,False
k141_12491,44,7273,320.894,1736,uvarum,False
k141_6263,53,5197,92.5445,918,uvarum,False
k141_12494,36,2266,82.2391,611,stipitis,False
k141_6264,6,1090,10.6511,30,kudriavzevii,False
k141_13371,90,10531,80.7517,2979,uvarum,False
k141_13373,13,1586,8.34471,30,kudriavzevii,False
k141_12497,59,5996,346.322,5080,Coronavirus,True
k141_1831,150,18708,48.0569,401,gossypii,False
k141_13376,48,3431,88.8985,557,cerevisiae,False
k141_12499,14,1986,12.5071,43,kudriavzevii,False
k141_4460,948,76508,80.0379,18760,mikatae,False
k141_908,180,16499,276.352,12955,cerevisiae,False
k141_5366,928,59507,128.592,22341,castellii,False
k141_7144,148,13343,258.856,6582,cerevisiae,False
k141_51,137,9725,272.116,5415,cerevisiae,False
k141_5370,32,1903,2156.31,10874,cerevisiae,False
k141_1832,157,13538,59.7151,2465,paradoxus,False
k141_6268,290,21619,54.466,3290,paradoxus,False
k141_6269,85,7224,74.1733,1491,Rhinovirus,True
k141_7146,273,22512,100.897,6571,mikatae,False
k141_11575,695,47380,97.395,14141,castellii,False
k141_11576,43,4148,67.1341,634,paradoxus,False
k141_7148,103,11143,160.513,6607,waltii,False
k141_910,277,23814,275.154,18274,cerevisiae,False
k141_54,119,9430,55.1314,1583,paradoxus,False
k141_13377,308,30852,76.3757,5558,Coronavirus,True
k141_5376,70,11470,162.344,4610,kluyveri,False
k141_8031,599,50865,292.801,33330,cerevisiae,False
k141_3588,637,49987,82.5805,11805,mikatae,False
k141_3590,4,1157,11.1619,11,kudriavzevii,False
k141_8032,102,6852,46.6573,1314,paradoxus,False
k141_1835,174,15162,285.291,9766,Influenzavirus,True
k141_8034,12,1409,174.293,2213,kluyveri,False
k141_13378,161,13568,52.2951,2253,paradoxus,False
k141_13380,63,3628,579.876,2294,uvarum,False
k141_8035,80,6895,285.851,6867,cerevisiae,False
k141_7155,65,5852,59.187,1134,paradoxus,False
k141_8040,13,1388,164.775,581,paradoxus,False
k141_8041,7,1037,319.097,98,paradoxus,False
k141_2692,558,89176,48.4981,1531,gossypii,False
k141_11579,140,11143,83.1497,1915,mikatae,False
k141_6276,242,21471,83.0832,3102,Rhinovirus,True
k141_912,160,13669,324.792,10745,Influenzavirus,True
k141_12501,479,38294,465.497,88358,mikatae,False
k141_12502,28,1629,88.9148,47,uvarum,False
k141_57,166,13628,86.5403,2162,uvarum,False
k141_12504,13,1307,260.95,139,uvarum,False
k141_918,21,1265,57.0287,132,paradoxus,False
k141_8047,46,3768,77.1926,304,uvarum,False
k141_8054,24,1832,97.547,487,mikatae,False
k141_8057,15,1279,62.5483,505,kluyveri,False
k141_8059,7,1445,55.1073,32,gossypii,False
k141_7156,213,23631,48.2122,542,gossypii,False
k141_7158,42,5763,200.103,2396,Rhinovirus,True
k141_11583,328,26393,288.362,22209,cerevisiae,False
k141_11588,12,1022,139.478,305,mikatae,False
k141_1841,481,36225,62.9455,6498,wickerhamii,False
k141_3591,532,46239,90.065,10647,mikatae,False
k141_2694,341,31343,70.725,8741,paradoxus,False
k141_8068,16,1343,14.9891,29,kudriavzevii,False
k141_6278,395,32581,87.1623,6316,mikatae,False
k141_6280,35,3000,12.2575,47,kudriavzevii,False
