Contig index,The number of restriction sites,Contig length,Contig coverage
contig_1000,3155,418844,527
contig_10007,876,76603,131
contig_10011,1007,118339,5014
contig_10012,12346,1299121,58
contig_10016,2258,162461,282
contig_10027,3315,353929,370
contig_1003,1783,241325,89
contig_10035,228,43734,277
contig_10036,642,72747,2914
contig_10039,949,103575,27
contig_1004,149,8633,5200
contig_1005,7948,435969,27
contig_10056,212,29815,63
contig_10058,421,50796,263
contig_10059,1313,185445,65
contig_10061,201,29276,3446
contig_10065,7496,825707,1217
contig_10069,5254,504051,196
contig_10071,2914,369288,11
contig_10073,715,36609,28
contig_10075,122,7209,23
contig_10076,996,52473,270
contig_10078,1389,190503,151
contig_10089,433,52654,203
contig_10092,700,57381,106
contig_10094,333,44909,123
contig_1010,269,38055,91
contig_10101,1143,133065,12549
contig_1011,5388,859932,294
contig_10113,4768,285351,48
contig_10114,197,29070,45
contig_10116,290,52711,6248
contig_10120,8685,824031,373
contig_10124,3730,373715,1150
contig_10125,732,93596,7044
contig_10126,1610,217193,377
contig_10127,2143,190996,144
contig_10128,2920,350688,147
contig_1013,264,34480,133
contig_10130,408,38177,220
contig_10138,1056,138862,1636
contig_10145,8171,719309,96
contig_10163,290,40860,57
contig_10169,1225,135375,2238
contig_10170,2669,360362,42
contig_10175,588,59792,13
contig_10176,219,30679,119
contig_10193,327,35834,158
contig_10195,876,112112,54
contig_10203,2992,228747,470
contig_10212,1196,155709,70
contig_10217,2619,155315,193
contig_10219,3554,193613,70
contig_10229,705,72615,36
contig_10232,249,17464,13
contig_10233,337,20998,4559
contig_10234,12895,1663701,651
contig_10235,2055,295458,205
contig_10248,407,33884,735
contig_10249,3705,484309,211
contig_10251,924,99007,37
contig_10252,124,14687,491
contig_10257,494,47596,88
contig_10263,267,61125,287
contig_10264,3667,328168,25
contig_10268,257,24208,411
contig_10269,913,114739,15
contig_10270,495,75351,31
contig_10274,503,55067,3443
contig_10275,10589,1053158,12795
contig_10277,11641,1415045,211
contig_10285,819,88978,3469
contig_10289,4089,522434,176
contig_10292,2633,353611,51
contig_10293,326,47980,953
contig_10299,1063,91130,263
contig_10300,1166,81455,41
contig_10318,1254,63071,4795
contig_10319,4534,523012,12
contig_10320,492,38069,354
contig_10323,3517,571041,116
contig_10330,610,77586,17
contig_10334,233,31960,309
contig_10335,1096,152896,201
contig_10337,209,37952,771
contig_10350,4080,350775,9131
contig_10359,13031,2472564,876
contig_10365,2579,369698,323
contig_10389,2628,233027,53
contig_10390,202,27671,7060
contig_10394,17560,2058514,322
contig_10397,1203,67537,108
contig_10402,682,74619,1288
contig_10403,5688,795077,770
contig_10419,6937,1037707,6
contig_1043,520,65124,1166
contig_10433,10283,1072568,20497
contig_10439,31745,1625171,49
contig_10446,501,69852,51
contig_10464,282,33600,174
contig_10470,536,64616,109
contig_10471,755,93778,595
contig_10474,532,44853,61
contig_10475,601,61116,956
contig_10481,1272,107612,611
contig_10483,3213,332998,2
contig_10484,682,40844,3463
contig_105,6917,741782,2275
contig_10512,24241,2091755,3
contig_10514,63,3857,1041
contig_10515,6003,318178,19
contig_10525,612,83398,26
contig_10526,1216,164720,13
contig_10527,304,35273,46
contig_10531,548,60492,45
contig_10541,1665,206761,56674
contig_1055,85,31417,11
contig_10552,450,60445,11
contig_10555,239,33505,2
contig_10561,113,13534,10967
contig_10573,51471,3408848,67
contig_10576,128,17470,24574
contig_10580,18943,3639850,12
contig_10589,817,99355,604
contig_1059,961,149787,3011
contig_10595,3285,492935,77
contig_10597,379,39974,341
contig_1060,1549,97935,37
contig_10607,172,50302,1668
contig_10618,1708,202146,4
contig_10619,190,25542,47
contig_10624,323,27148,583
contig_10627,14181,943256,56
contig_1064,383,53948,54
contig_10646,719,89347,73
contig_10652,448,58538,140
contig_10655,548,81645,1293
contig_1066,904,116907,269
contig_10662,1452,159980,423
contig_10675,2060,194056,96
contig_10677,341,35582,129
contig_10679,767,74623,2
contig_10681,169,15692,40
contig_10683,1097,111582,335
contig_10684,448,72229,162
contig_10685,354,39327,54
contig_10686,1250,128583,90
contig_10687,1053,110695,52
contig_10690,1681,87355,104
contig_10692,2637,162388,1203
contig_10693,23968,1425409,488
contig_10696,5349,548078,85
contig_10699,335,48004,1309
contig_10701,2533,245549,133
contig_10708,931,126957,114
contig_10717,294,37424,197
contig_10719,1042,169075,6696
contig_10730,1952,313098,44
contig_10731,200,35576,236
contig_10735,2364,171895,4873
