Contig index,The number of restriction sites,Contig length,Contig coverage,Within-contig Hi-C contacts,Bin index,Category,Phylum,Class,Order,Family,Genus,Species
contig_1000,3155,418844,0.0087765373265463,3676,MAG_1826,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Dysosmobacter,s_
contig_10007,876,76603,0.1482448468075662,11356,MAG_118,chromosome,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_Blautia_A,s_
contig_10011,1007,118339,0.0727232780402065,8606,MAG_287,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_UMGS1696,s_
contig_10012,12346,1299121,0.0075173906048782,9766,MAG_728,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-272,g_SIG644,s_SIG644 sp017452545
contig_10016,2258,162461,0.0815949674075624,13256,MAG_1719,chromosome,p_Planctomycetota,c_Planctomycetia,o_Pirellulales,f_Thermoguttaceae,g_RGIG3701,s_RGIG3701 sp017939795
contig_10027,3315,353929,0.0236770651740885,8380,MAG_1527,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_RUG806,s_
contig_1003,1783,241325,0.0260768672951414,6293,MAG_1829,unclassified,p_,c_,o_,f_,g_,s_
contig_10035,228,43734,0.1840444505419124,8049,MAG_602,unclassified,p_,c_,o_,f_,g_,s_
contig_10036,642,72747,0.1687354805009141,12275,MAG_339,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_SIG603,s_SIG603 sp017935165
contig_10039,949,103575,0.0758097996620806,7852,MAG_1666,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_CAG-83,s_
contig_1004,149,8633,1.4085485926097532,12160,contig_1004,unclassified,p_,c_,o_,f_,g_,s_
contig_1005,7948,435969,0.0258389931394204,11265,MAG_1698,unclassified,p_,c_,o_,f_,g_,s_
contig_10056,212,29815,0.1949689753479792,5813,MAG_132,unclassified,p_,c_,o_,f_,g_,s_
contig_10058,421,50796,0.1653476651704858,8399,MAG_506,unclassified,p_,c_,o_,f_,g_,s_
contig_10059,1313,185445,0.0356493839143681,6611,MAG_646,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_CAG-83,s_
contig_10061,201,29276,0.3676731793960923,10764,MAG_1665,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_CAG-83,s_
contig_10065,7496,825707,0.0021835832807521,1803,MAG_960,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_RGIG1959,s_
contig_10069,5254,504051,0.0180576965426117,9102,MAG_1656,unclassified,p_,c_,o_,f_,g_,s_
contig_10071,2914,369288,0.0212219189358982,7837,MAG_713,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_CAG-382,g_SIG622,s_
contig_10073,715,36609,0.3541752028189789,12966,MAG_1698,unclassified,p_,c_,o_,f_,g_,s_
contig_10075,122,7209,0.8138438063531697,5867,contig_10075,unclassified,p_,c_,o_,f_,g_,s_
contig_10076,996,52473,0.2975434985611648,15613,MAG_1698,unclassified,p_,c_,o_,f_,g_,s_
contig_10078,1389,190503,0.0228395353354015,4351,MAG_501,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_SIG530,g_SIG530,s_SIG530 sp015067075
contig_10089,433,52654,0.2496486496752383,13145,MAG_846,unclassified,p_,c_,o_,f_,g_,s_
contig_10092,700,57381,0.1232289433784702,7071,MAG_118,chromosome,p_FirmicuteA,c_Clostridia,o_Lachnospirales,f_Lachnospiraceae,g_Blautia_A,s_
contig_10094,333,44909,0.3241889153621768,14559,MAG_158,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Butyricicoccaceae,g_JAAZBA01,s_
contig_1010,269,38055,0.4681644987518066,17816,MAG_114,unclassified,p_,c_,o_,f_,g_,s_
contig_10101,1143,133065,0.0418291812272197,5566,MAG_522,chromosome,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_Borkfalkiaceae,g_UBA7597,s_
contig_1011,5388,859932,0.0089658252047836,7710,MAG_78,unclassified,p_,c_,o_,f_,g_,s_
contig_10113,4768,285351,0.0355141562496714,10134,MAG_239,unclassified,p_,c_,o_,f_,g_,s_
contig_10114,197,29070,0.4035775713794289,11732,MAG_305,chromosome,p_FirmicuteA,c_Clostridia,o_Christensenellales,f_UBA1750,g_SIG373,s_
contig_10116,290,52711,0.189296351805126,9978,MAG_277,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Dysosmobacter,s_
contig_10120,8685,824031,0.0087605927446904,7219,MAG_529,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_
contig_10124,3730,373715,0.0187335268854608,7001,MAG_1259,chromosome,p_Cyanobacteria,c_Vampirovibrionia,o_Gastranaerophilales,f_Gastranaerophilaceae,g_,s_
contig_10125,732,93596,0.1344608743963417,12585,MAG_1217,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_
contig_10126,1610,217193,0.0796434507557794,17298,MAG_768,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_CAG-488,s_CAG-488 sp017935265
contig_10127,2143,190996,0.0351682757754089,6717,MAG_528,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_
contig_10128,2920,350688,0.0109841226389269,3852,MAG_1821,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Acutalibacteraceae,g_UBA1081,s_
contig_1013,264,34480,0.4551044083526682,15692,contig_1013,unclassified,p_,c_,o_,f_,g_,s_
contig_10130,408,38177,0.3134609843623124,11967,MAG_1615,chromosome,p_FirmicuteA,c_Clostridia,o_Oscillospirales,f_Oscillospiraceae,g_Faecousia,s_
contig_10138,1056,138862,0.0718843168037332,9982,MAG_1732,chromosome,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_UBA932,g_Cryptobacteroides,s_
