user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
BIN10	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Alloscillospira;s__	N/A	N/A	N/A	N/A	N/A	GCA_017461585.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Alloscillospira;s__Alloscillospira sp017461585	78.63	0.22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Alloscillospira;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017540565.1, s__Alloscillospira sp017540565, 95.0, 77.68, 0.1; GCA_017519975.1, s__Alloscillospira sp017519975, 95.0, 77.45, 0.08; GCF_904420055.1, s__Alloscillospira gallinarum, 95.0, 77.41, 0.17	89.75	11	0.9271898276982462	N/A
BIN100	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900553545	GCA_900553545.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900553545	96.34	0.56	GCA_900553545.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900553545	96.34	0.56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905214155.1, s__CAG-170 sp905214155, 95.0, 92.21, 0.48; GCA_900555665.1, s__CAG-170 sp900555665, 95.0, 86.05, 0.45; GCA_002298695.1, s__CAG-170 sp002298695, 95.0, 85.56, 0.37; GCA_900545925.1, s__CAG-170 sp900545925, 95.0, 81.82, 0.3; GCA_000432135.1, s__CAG-170 sp000432135, 95.0, 81.37, 0.29; GCA_900751035.1, s__CAG-170 sp900751035, 95.0, 81.13, 0.21; GCA_000436735.1, s__CAG-170 sp000436735, 95.0, 80.81, 0.27; GCA_002404795.1, s__CAG-170 sp002404795, 95.0, 80.29, 0.25; GCA_900548625.1, s__CAG-170 sp900548625, 95.0, 80.21, 0.26; GCA_003516765.1, s__CAG-170 sp003516765, 95.0, 79.87, 0.23; GCA_002437575.1, s__CAG-170 sp002437575, 95.0, 79.8, 0.23; GCA_016296635.1, s__CAG-170 sp016296635, 95.0, 79.73, 0.13; GCA_900549635.1, s__CAG-170 sp900549635, 95.0, 79.51, 0.23; GCA_902796245.1, s__CAG-170 sp902796245, 95.0, 79.42, 0.25; GCA_004555655.1, s__CAG-170 sp004555655, 95.0, 79.36, 0.22; GCA_902803075.1, s__CAG-170 sp902803075, 95.0, 79.02, 0.16; GCA_016297855.1, s__CAG-170 sp016297855, 95.0, 78.77, 0.2	42.85	11	N/A	N/A
BIN1000	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__SIG204;s__	N/A	N/A	N/A	N/A	N/A	GCA_900544605.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__SIG204;s__SIG204 sp900544605	83.32	0.48	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__SIG204;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_015059195.1, s__SIG204 sp015059195, 95.0, 81.53, 0.4; GCA_015059365.1, s__SIG204 sp015059365, 95.0, 80.92, 0.43	24.29	11	0.9631349974828923	N/A
BIN1001	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
BIN1002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	GCA_017549125.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017549125	78.24	0.15	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017621795.1, s__Faecousia sp017621795, 95.0, 84.58, 0.22; GCA_900762245.1, s__Faecousia sp900762245, 95.0, 83.91, 0.19; GCA_015067545.1, s__Faecousia sp015067545, 95.0, 83.45, 0.17; GCA_017482385.1, s__Faecousia sp017482385, 95.0, 83.25, 0.19; GCA_017624715.1, s__Faecousia sp017624715, 95.0, 82.95, 0.2; GCA_017398625.1, s__Faecousia sp017398625, 95.0, 82.69, 0.15; GCA_017465745.1, s__Faecousia sp017465745, 95.0, 82.16, 0.19; GCA_018713285.1, s__Faecousia excrementigallinarum, 95.0, 82.08, 0.16; GCA_015067945.1, s__Faecousia sp015067945, 95.0, 82.01, 0.16; GCA_017561205.1, s__Faecousia sp017561205, 95.0, 81.81, 0.1; GCA_017398725.1, s__Faecousia sp017398725, 95.0, 81.77, 0.07; GCA_015067845.1, s__Faecousia sp015067845, 95.0, 81.75, 0.23; GCA_017622295.1, s__Faecousia sp017622295, 95.0, 81.22, 0.1; GCA_017501695.1, s__Faecousia sp017501695, 95.0, 81.22, 0.17; GCA_017415425.1, s__Faecousia sp017415425, 95.0, 81.18, 0.17; GCA_015068165.1, s__Faecousia sp015068165, 95.0, 81.07, 0.18; GCA_018712645.1, s__Faecousia faecavium, 95.0, 80.91, 0.21; GCA_015067495.1, s__Faecousia sp015067495, 95.0, 80.88, 0.2; GCA_018715805.1, s__Faecousia intestinigallinarum, 95.0, 80.88, 0.15; GCA_017506735.1, s__Faecousia sp017506735, 95.0, 80.86, 0.16; GCA_900544405.1, s__Faecousia sp900544405, 95.0, 80.84, 0.16; GCA_017508045.1, s__Faecousia sp017508045, 95.0, 80.82, 0.09; GCA_017461445.1, s__Faecousia sp017461445, 95.0, 80.75, 0.19; GCA_017936985.1, s__Faecousia sp017936985, 95.0, 80.67, 0.12; GCA_900546075.1, s__Faecousia sp900546075, 95.0, 80.61, 0.23; GCA_017452505.1, s__Faecousia sp017452505, 95.0, 80.58, 0.14; GCA_018715835.1, s__Faecousia intestinavium, 95.0, 80.57, 0.18; GCA_015067835.1, s__Faecousia sp015067835, 95.0, 80.52, 0.12; GCA_017632035.1, s__Faecousia sp017632035, 95.0, 80.51, 0.14; GCA_017456645.1, s__Faecousia sp017456645, 95.0, 80.48, 0.14; GCA_015068155.1, s__Faecousia sp015068155, 95.0, 80.48, 0.16; GCA_015068125.1, s__Faecousia sp015068125, 95.0, 80.31, 0.16; GCA_000434635.1, s__Faecousia sp000434635, 95.0, 80.16, 0.21; GCA_900544945.1, s__Faecousia sp900544945, 95.0, 80.11, 0.19; GCA_002362625.1, s__Faecousia sp002362625, 95.0, 80.1, 0.07; GCA_015068135.1, s__Faecousia sp015068135, 95.0, 80.03, 0.23; GCA_017620525.1, s__Faecousia sp017620525, 95.0, 79.97, 0.12; GCA_017939025.1, s__Faecousia sp017939025, 95.0, 79.92, 0.17; GCA_017473225.1, s__Faecousia sp017473225, 95.0, 79.81, 0.13; GCA_017416325.1, s__Faecousia sp017416325, 95.0, 79.79, 0.21; GCA_017630495.1, s__Faecousia sp017630495, 95.0, 79.78, 0.15; GCA_015068225.1, s__Faecousia sp015068225, 95.0, 79.75, 0.15; GCA_017516785.1, s__Faecousia sp017516785, 95.0, 79.67, 0.09; GCA_017457285.1, s__Faecousia sp017457285, 95.0, 79.64, 0.14; GCA_017435525.1, s__Faecousia sp017435525, 95.0, 79.61, 0.24; GCA_015067665.1, s__Faecousia sp015067665, 95.0, 79.6, 0.16; GCA_017398105.1, s__Faecousia sp017398105, 95.0, 79.57, 0.24; GCA_017436785.1, s__Faecousia sp017436785, 95.0, 79.54, 0.13; GCA_017521485.1, s__Faecousia sp017521485, 95.0, 79.48, 0.15; GCA_900554625.1, s__Faecousia sp900554625, 95.0, 79.48, 0.12; GCA_015067785.1, s__Faecousia sp015067785, 95.0, 79.44, 0.14; GCA_018712825.1, s__Faecousia excrementipullorum, 95.0, 79.42, 0.15; GCA_015067635.1, s__Faecousia sp015067635, 95.0, 79.33, 0.11; GCA_015067935.1, s__Faecousia sp015067935, 95.0, 79.14, 0.1; GCA_900769845.1, s__Faecousia sp900769845, 95.0, 79.13, 0.08; GCA_015068305.1, s__Faecousia sp015068305, 95.0, 79.13, 0.19; GCA_017436035.1, s__Faecousia sp017436035, 95.0, 79.12, 0.08; GCA_002436765.1, s__Faecousia sp002436765, 95.0, 79.09, 0.18; GCA_017408725.1, s__Faecousia sp017408725, 95.0, 79.01, 0.17; GCA_015068495.1, s__Faecousia sp015068495, 95.0, 79.0, 0.18; GCA_017466215.1, s__Faecousia sp017466215, 95.0, 78.88, 0.06; GCA_017537045.1, s__Faecousia sp017537045, 95.0, 78.8, 0.16; GCA_017624645.1, s__Faecousia sp017624645, 95.0, 78.76, 0.13; GCA_017411905.1, s__Faecousia sp017411905, 95.0, 78.74, 0.08; GCA_017547505.1, s__Faecousia sp017547505, 95.0, 78.71, 0.04; GCA_017437095.1, s__Faecousia sp017437095, 95.0, 78.6, 0.14; GCA_017456105.1, s__Faecousia sp017456105, 95.0, 78.58, 0.14; GCA_017435615.1, s__Faecousia sp017435615, 95.0, 78.49, 0.18; GCA_017646545.1, s__Faecousia sp017646545, 95.0, 78.44, 0.09; GCA_015068175.1, s__Faecousia sp015068175, 95.0, 78.44, 0.15; GCA_015067605.1, s__Faecousia sp015067605, 95.0, 78.36, 0.13; GCA_017397565.1, s__Faecousia sp017397565, 95.0, 78.32, 0.18; GCA_017465625.1, s__Faecousia sp017465625, 95.0, 78.22, 0.1; GCA_017505505.1, s__Faecousia sp017505505, 95.0, 78.22, 0.1; GCA_004562395.1, s__Faecousia sp004562395, 95.0, 78.19, 0.17; GCA_002493965.1, s__Faecousia sp002493965, 95.0, 78.17, 0.16; GCA_017436955.1, s__Faecousia sp017436955, 95.0, 78.11, 0.14; GCA_004555705.1, s__Faecousia sp004555705, 95.0, 78.04, 0.21; GCA_017507425.1, s__Faecousia sp017507425, 95.0, 78.0, 0.15; GCA_017502265.1, s__Faecousia sp017502265, 95.0, 77.91, 0.09; GCA_017631155.1, s__Faecousia sp017631155, 95.0, 77.9, 0.1; GCA_017381835.1, s__Faecousia sp017381835, 95.0, 77.9, 0.19; GCA_017555395.1, s__Faecousia sp017555395, 95.0, 77.81, 0.09; GCA_017473455.1, s__Faecousia sp017473455, 95.0, 77.77, 0.11; GCA_017435245.1, s__Faecousia sp017435245, 95.0, 77.7, 0.09; GCA_017410075.1, s__Faecousia sp017410075, 95.0, 77.61, 0.09; GCA_017409205.1, s__Faecousia sp017409205, 95.0, 77.56, 0.14; GCA_905205195.1, s__Faecousia sp900762935, 95.0, 77.48, 0.17; GCA_017452605.1, s__Faecousia sp017452605, 95.0, 77.46, 0.13; GCA_017516925.1, s__Faecousia sp017516925, 95.0, 77.44, 0.11; GCA_900763965.1, s__Faecousia sp900763965, 95.0, 77.15, 0.17; GCA_017521875.1, s__Faecousia sp017521875, 95.0, 76.98, 0.05; GCA_017548065.1, s__Faecousia sp017548065, 95.0, 76.94, 0.18; GCA_017440925.1, s__Faecousia sp017440925, 95.0, 76.83, 0.12; GCA_017380435.1, s__Faecousia sp017380435, 95.0, 76.75, 0.1; GCA_017466665.1, s__Faecousia sp017466665, 95.0, 76.75, 0.07; GCA_017399325.1, s__Faecousia sp017399325, 95.0, 76.71, 0.08; GCA_017416245.1, s__Faecousia sp017416245, 95.0, 76.59, 0.16; GCA_900769835.1, s__Faecousia sp900769835, 95.0, 76.13, 0.05	17.41	11	0.9776134632337613	Genome domain questionable ( 17.5% Bacterial, 7.5% Archaeal)
BIN1003	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.41	11	0.901381322389311	N/A
BIN1004	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.4%)
BIN1005	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella_A;s__Barnesiella_A sp017410245	GCA_017410245.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella_A;s__Barnesiella_A sp017410245	98.47	0.88	GCA_017410245.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella_A;s__Barnesiella_A sp017410245	98.47	0.88	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017555825.1, s__Barnesiella_A sp017555825, 95.0, 81.05, 0.4; GCA_904502265.1, s__Barnesiella_A sp904502265, 95.0, 80.67, 0.3; GCA_017561285.1, s__Barnesiella_A sp017561285, 95.0, 80.55, 0.38; GCA_017522135.1, s__Barnesiella_A sp017522135, 95.0, 80.42, 0.42; GCA_017481745.1, s__Barnesiella_A sp017481745, 95.0, 80.33, 0.43; GCA_017935645.1, s__Barnesiella_A sp017935645, 95.0, 80.26, 0.47; GCA_017532725.1, s__Barnesiella_A sp017532725, 95.0, 79.61, 0.39; GCA_017531985.1, s__Barnesiella_A sp017531985, 95.0, 79.13, 0.36; GCA_900538705.1, s__Barnesiella_A sp900538705, 95.0, 77.96, 0.14; GCA_900542255.1, s__Barnesiella_A excrementipullorum, 95.0, 77.24, 0.2	32.59	11	N/A	N/A
BIN1006	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
BIN1007	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1067;s__	N/A	N/A	N/A	N/A	N/A	GCA_902799955.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1067;s__UBA1067 sp902799955	93.92	0.46	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1067;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017447805.1, s__UBA1067 sp017447805, 95.0, 79.81, 0.03; GCA_902799385.1, s__UBA1067 sp902799385, 95.0, 79.46, 0.14; GCA_017432385.1, s__UBA1067 sp017432385, 95.0, 79.44, 0.16; GCA_002449695.1, s__UBA1067 sp002449695, 95.0, 79.39, 0.15; GCA_902800055.1, s__UBA1067 sp902800055, 95.0, 79.36, 0.13; GCA_018384485.1, s__UBA1067 sp018384485, 95.0, 79.23, 0.04; GCA_902775595.1, s__UBA1067 sp002350535, 95.6109, 79.23, 0.17; GCA_900320855.1, s__UBA1067 sp900320855, 95.0, 79.18, 0.14; GCA_016296065.1, s__UBA1067 sp016296065, 95.0, 78.99, 0.16; GCA_017650345.1, s__UBA1067 sp017650345, 95.0, 78.94, 0.14; GCA_902801025.1, s__UBA1067 sp902801025, 95.0, 78.86, 0.16; GCA_017406465.1, s__UBA1067 sp017406465, 95.0, 78.81, 0.19; GCA_004551905.1, s__UBA1067 sp004551905, 95.0, 78.8, 0.13; GCA_017412325.1, s__UBA1067 sp017412325, 95.0, 78.79, 0.1; GCA_017463935.1, s__UBA1067 sp017463935, 95.0, 78.76, 0.17; GCA_002371135.1, s__UBA1067 sp002371135, 95.0, 78.73, 0.13; GCA_900321255.1, s__UBA1067 sp900321255, 95.6109, 78.69, 0.17; GCA_902770045.1, s__UBA1067 sp902770045, 95.0, 78.64, 0.13; GCA_016284515.1, s__UBA1067 sp016284515, 95.0, 78.58, 0.19; GCA_902780865.1, s__UBA1067 sp902780865, 95.0, 78.55, 0.14; GCA_002440145.1, s__UBA1067 sp002440145, 95.0, 78.47, 0.06; GCA_002321305.1, s__UBA1067 sp002321305, 95.0, 78.39, 0.16; GCA_902788415.1, s__UBA1067 sp902788415, 95.0, 78.34, 0.11; GCA_017405115.1, s__UBA1067 sp017405115, 95.0, 78.32, 0.21; GCA_017648225.1, s__UBA1067 sp017648225, 95.0, 78.27, 0.05; GCA_902764415.1, s__UBA1067 sp002351765, 95.0, 78.27, 0.14; GCA_016280825.1, s__UBA1067 sp016280825, 95.0, 78.18, 0.1; GCA_016288465.1, s__UBA1067 sp016288465, 95.0, 78.14, 0.13; GCA_015061665.1, s__UBA1067 sp015061665, 95.0, 78.12, 0.19; GCA_904502135.1, s__UBA1067 sp904502135, 95.0, 78.06, 0.04; GCA_016303225.1, s__UBA1067 sp016303225, 95.0, 77.97, 0.11; GCA_902773015.1, s__UBA1067 sp902773015, 95.0, 77.96, 0.11; GCA_017652705.1, s__UBA1067 sp017652705, 95.0, 77.93, 0.06; GCA_002363575.1, s__UBA1067 sp002363575, 95.0, 77.84, 0.09; GCA_002298665.1, s__UBA1067 sp002298665, 95.0, 77.79, 0.07; GCA_017514235.1, s__UBA1067 sp017514235, 95.0, 77.77, 0.14; GCA_002392765.1, s__UBA1067 sp002392765, 95.0, 77.75, 0.15; GCA_902761275.1, s__UBA1067 sp902761275, 95.0, 77.73, 0.17; GCA_002315875.1, s__UBA1067 sp002315875, 95.0, 77.72, 0.05; GCA_017389885.1, s__UBA1067 sp017389885, 95.0, 77.59, 0.1; GCA_017403825.1, s__UBA1067 sp017403825, 95.0, 77.53, 0.14; GCA_017418445.1, s__UBA1067 sp017418445, 95.0, 77.51, 0.1; GCA_002395905.1, s__UBA1067 sp002395905, 95.0, 77.42, 0.1; GCA_017542055.1, s__UBA1067 sp017542055, 95.0, 77.36, 0.05; GCA_017507065.1, s__UBA1067 sp017507065, 95.0, 77.31, 0.05; GCA_017547265.1, s__UBA1067 sp017547265, 95.0, 77.3, 0.1; GCA_900321575.1, s__UBA1067 sp900321575, 95.0, 77.3, 0.06; GCA_017395505.1, s__UBA1067 sp017395505, 95.0, 77.29, 0.11; GCA_017959645.1, s__UBA1067 sp017959645, 95.0, 77.27, 0.11; GCA_017525475.1, s__UBA1067 sp017525475, 95.0, 77.27, 0.05; GCA_017508315.1, s__UBA1067 sp017508315, 95.0, 77.15, 0.07; GCA_017629455.1, s__UBA1067 sp017629455, 95.0, 77.12, 0.01; GCA_017965685.1, s__UBA1067 sp017965685, 95.0, 77.06, 0.06; GCA_900767325.1, s__UBA1067 sp900767325, 95.0, 76.98, 0.06; GCA_017629735.1, s__UBA1067 sp017629735, 95.0, 76.94, 0.03; GCA_002371755.1, s__UBA1067 sp002371755, 95.0, 76.92, 0.08; GCA_017520845.1, s__UBA1067 sp017520845, 95.0, 76.81, 0.1; GCA_002369235.1, s__UBA1067 sp002369235, 95.0, 76.75, 0.06; GCA_017628025.1, s__UBA1067 sp017628025, 95.0, 76.68, 0.01; GCA_017631385.1, s__UBA1067 sp017631385, 95.0, 76.68, 0.01; GCA_902772905.1, s__UBA1067 sp902772905, 95.0, 76.68, 0.08; GCA_017628165.1, s__UBA1067 sp017628165, 95.0, 76.38, 0.03; GCA_902776615.1, s__UBA1067 sp902776615, 95.0, 76.31, 0.09; GCA_017385345.1, s__UBA1067 sp017385345, 95.0, 76.12, 0.06	10.58	11	0.9941419550360986	N/A
